"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 6","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Fotocopy+%26+Penjilidan+Barokah/data=!4m7!3m6!1s0x2dd7fbd1839ab015:0xf36af367c4265090!8m2!3d-7.2741493!4d112.756399!16s%2Fg%2F11clwky5tz!19sChIJFbCag9H71y0RkFAmxGfzavM?authuser=0&hl=id&rclk=1","Fotocopy & Penjilidan Barokah","5,0","(3)","Pemasok peralatan percetakan","·","Jl. Dharmawangsa No.32","Buka","·","0812-3554-3877","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sekitar jam 7 an sdh ready""","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Puskrip+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fbd6a4bd3edd:0xef32aa3a375c668e!8m2!3d-7.2703497!4d112.7563017!16s%2Fg%2F11b69zzw2x!19sChIJ3T69pNb71y0RjmZcNzqqMu8?authuser=0&hl=id&rclk=1","Puskrip Dharmawangsa","4,5","(106)","Toko Percetakan","·","Jl. Dharmawangsa No.40","Buka 24 jam","·","0856-4085-8906","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayan baik dan ramah, harga terjangkau, kualitas baguss""","","",""
"https://www.google.com/maps/place/Budaya+Print+Percetakan+%26+Fotocopy/data=!4m7!3m6!1s0x2dd7fbd4c25adbc3:0xac443ae5326554!8m2!3d-7.269083!4d112.7615303!16s%2Fg%2F11f4pnf73t!19sChIJw9tawtT71y0RVGUy5TpErAA?authuser=0&hl=id&rclk=1","Budaya Print Percetakan & Fotocopy","5,0","(11)","Toko Fotokopi","·","Jl. Karang Menjangan II No.10","Buka","·","0812-3141-3580","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomendasi deh buat mahasiswa, murah, bapaknya baik 👍""","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/P,DE%22FOTOCOPY/data=!4m7!3m6!1s0x2dd7fbd24bd2546d:0x9f753b3ea55c4d82!8m2!3d-7.2740118!4d112.7587117!16s%2Fg%2F11cn0nf2r6!19sChIJbVTSS9L71y0Rgk1cpT47dZ8?authuser=0&hl=id&rclk=1","P,DE""FOTOCOPY","5,0","(2)","Toko Fotokopi","·","Jl. Srikana Tim. No.2","Buka","·","0812-4930-9448","","Rute","","","· Tutup pukul 20.00","",""
"https://www.google.com/maps/place/Fotocopy+Siswi/data=!4m7!3m6!1s0x2dd7fbd6ae3dc0c3:0x7ef938700c347b59!8m2!3d-7.2757992!4d112.757361!16s%2Fg%2F11cly8cms_!19sChIJw8A9rtb71y0RWXs0DHA4-X4?authuser=0&hl=id&rclk=1","Fotocopy Siswi","5,0","(5)","Toko Fotokopi","·","Gubeng Kertajaya IX E No.2","Buka","·","0877-7336-8485","","Rute","","","· Tutup pukul 21.00","",""
"https://www.google.com/maps/place/Ramayana+Fotokopi+%26+Percetakan/data=!4m7!3m6!1s0x2dd7fbd18e287f43:0xe89d5299a636ca8c!8m2!3d-7.2746057!4d112.7561146!16s%2Fg%2F1hm2h_t4j!19sChIJQ38ojtH71y0RjMo2pplSneg?authuser=0&hl=id&rclk=1","Ramayana Fotokopi & Percetakan","4,4","(405)","Layanan cetak digital","·","·","Tutup","MJl, Jl. Dharmawangsa No.106 A","(031) 5032117","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pengerjaannya sangat detail dan selalu dipacking dengan rapi.""","· Buka Sen pukul 08.30","","·"
"https://www.google.com/maps/place/RIZQY+FOTOCOPY+MURAH/data=!4m7!3m6!1s0x2dd7fbd49d75ca63:0xccec174e9a2c2a45!8m2!3d-7.2709173!4d112.7608317!16s%2Fg%2F11cnl7ljf9!19sChIJY8p1ndT71y0RRSosmk4X7Mw?authuser=0&hl=id&rclk=1","RIZQY FOTOCOPY MURAH","4,7","(65)","Toko Fotokopi","·","·","Tutup","Jl. Karang Menjangan VII No.14","0877-5537-3520","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""langganan bgt sejak sems 1 karena emang sesuai claim, MURAH!""","· Buka Sen pukul 08.30","","·"
"https://www.google.com/maps/place/Tri+Rasyad+Copy+Center+and+Printing/data=!4m7!3m6!1s0x2dd7fb86b00a7d8d:0xeba5037228f6e193!8m2!3d-7.2739637!4d112.7526992!16s%2Fg%2F11yh473846!19sChIJjX0KsIb71y0Rk-H2KHIDpes?authuser=0&hl=id&rclk=1","Tri Rasyad Copy Center and Printing","5,0","(1)","Layanan cetak digital","·","Jl. Gubeng Kertajaya 1 G No.32","Buka","·","0857-8480-0816","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Keren banget bisa chat lewat wa trs tinggal ambil kalau udah beres!!""","· Tutup pukul 21.00","",""
"https://www.google.com/maps/place/Surya+Copy+Center+Digital+Printing+Percetakan+Surabaya/data=!4m7!3m6!1s0x2dd7f97fcdfddd91:0x8ab708e63ad9eda9!8m2!3d-7.265295!4d112.760531!16s%2Fg%2F11ffm0t6kt!19sChIJkd39zX_51y0Rqe3ZOuYIt4o?authuser=0&hl=id&rclk=1","Surya Copy Center Digital Printing Percetakan Surabaya","4,7","(50)","Toko Fotokopi","·","·","Jl. Kedung Sroko No.127","Tutup","(031) 5994737","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Koleksi alkesnya lumayan lengkap dan harganya bersaing juga""","· Buka Sen pukul 07.00","","·"
"https://www.google.com/maps/place/Foto+Copy+Sastra/data=!4m7!3m6!1s0x2dd7fbd3ad6b9a35:0x7b9bacaba9d8d8b5!8m2!3d-7.273499!4d112.759238!16s%2Fg%2F11b6t_6grw!19sChIJNZprrdP71y0RtdjYqausm3s?authuser=0&hl=id&rclk=1","Foto Copy Sastra","5,0","(1)","Toko Fotokopi","·","PQG5+JM5, Jl. Dharmawangsa Dalam","","","0851-0052-6617","","Rute","","","","",""
