"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Banda+A/data=!4m7!3m6!1s0x2dd7fbd78db443c5:0x4278f76cb00ec2d2!8m2!3d-7.26793!4d112.75154!16s%2Fg%2F11l1brhc_d!19sChIJxUO0jdf71y0R0sIOsGz3eEI?authuser=0&hl=id&rclk=1","Banda A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ruko+Gubeng+A/data=!4m7!3m6!1s0x2dd7fbd9d4a1c19b:0x4ed4761ce5bcf5d9!8m2!3d-7.26909!4d112.75061!16s%2Fg%2F11l1bq8gbz!19sChIJm8Gh1Nn71y0R2fW85Rx21E4?authuser=0&hl=id&rclk=1","Ruko Gubeng A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kalidami+B/data=!4m7!3m6!1s0x2dd7fbd2cc00b911:0xda6f86308d088a1e!8m2!3d-7.27436!4d112.76253!16s%2Fg%2F11y8_qhq1f!19sChIJEbkAzNL71y0RHooIjTCGb9o?authuser=0&hl=id&rclk=1","Kalidami B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Taman+Tirta+Boga/data=!4m7!3m6!1s0x2dd7f962a5fe0f37:0x2955f7a240eb5899!8m2!3d-7.26617!4d112.7502!16s%2Fg%2F11gh1n6_pv!19sChIJNw_-pWL51y0RmVjrQKL3VSk?authuser=0&hl=id&rclk=1","Taman Tirta Boga","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Seberang+Jl.+Rempelas/data=!4m7!3m6!1s0x2dd7f97c5282565f:0x1885aac3df7849fb!8m2!3d-7.26364!4d112.75468!16s%2Fg%2F11l2cwqs91!19sChIJX1aCUnz51y0R-0l438OqhRg?authuser=0&hl=id&rclk=1","Seberang Jl. Rempelas","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Taman+Lansia+A/data=!4m7!3m6!1s0x2dd7fbd9ef067949:0x502e4c4d80a5271a!8m2!3d-7.27086!4d112.74992!16s%2Fg%2F11hd8hdmnj!19sChIJSXkG79n71y0RGielgE1MLlA?authuser=0&hl=id&rclk=1","Taman Lansia A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/SMAK+YBPK+1/data=!4m7!3m6!1s0x2dd7f97dd96b071d:0xf8d4f522ae36c705!8m2!3d-7.264519!4d112.756634!16s%2Fg%2F11byl5sx72!19sChIJHQdr2X351y0RBcc2riL11Pg?authuser=0&hl=id&rclk=1","SMAK YBPK 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Apotek+Purnama/data=!4m7!3m6!1s0x2dd7fbda8346dabd:0x1bc8637b1e38be8e!8m2!3d-7.27462!4d112.75071!16s%2Fg%2F11gh1n82vt!19sChIJvdpGg9r71y0Rjr44HntjyBs?authuser=0&hl=id&rclk=1","Apotek Purnama","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Banda+B/data=!4m7!3m6!1s0x2dd7fbd78e81235d:0xf202053b6b3e6af5!8m2!3d-7.26804!4d112.75151!16s%2Fg%2F11v58jz826!19sChIJXSOBjtf71y0R9Wo-azsFAvI?authuser=0&hl=id&rclk=1","Banda B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Alfamart+Dharmahusada/data=!4m7!3m6!1s0x2dd7fa2aa08283df:0x30b8b1e1b9832520!8m2!3d-7.265787!4d112.76415!16s%2Fg%2F11hd8hdz2m!19sChIJ34OCoCr61y0RICWDueGxuDA?authuser=0&hl=id&rclk=1","Alfamart Dharmahusada","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Waroeng+Bakso+Wong+Solo/data=!4m7!3m6!1s0x2dd7fbd0a0e38401:0x54d4635b47a7ed85!8m2!3d-7.272555!4d112.75113!16s%2Fg%2F11f5f_wnkf!19sChIJAYTjoND71y0Rhe2nR1tj1FQ?authuser=0&hl=id&rclk=1","Waroeng Bakso Wong Solo","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Monkasel/data=!4m7!3m6!1s0x2dd7f962979f80a9:0xb457384e71150822!8m2!3d-7.26586!4d112.7493!16s%2Fg%2F11stk2m1tf!19sChIJqYCfl2L51y0RIggVcU44V7Q?authuser=0&hl=id&rclk=1","Monkasel","Perhentian bus","","Rute"
