"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Taman+Sari/data=!4m7!3m6!1s0x2e68e65a65783bef:0x8077d8771d4238ca!8m2!3d-6.8941855!4d107.6087773!16s%2Fg%2F11yv5__c5v!19sChIJ7zt4ZVrmaC4RyjhCHXfYd4A?authuser=0&hl=id&rclk=1","Taman Sari","Perhentian bus","","Rute"
"https://www.google.com/maps/place/ITB+Ganesa+A/data=!4m7!3m6!1s0x2e68e650c0150c75:0x37542b2ffd3d0252!8m2!3d-6.89334!4d107.61126!16s%2Fg%2F11ynxxns88!19sChIJdQwVwFDmaC4RUgI9_S8rVDc?authuser=0&hl=id&rclk=1","ITB Ganesa A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Pascasarjana+Unikom/data=!4m7!3m6!1s0x2e68e6f89717eef1:0x27ed13049144c677!8m2!3d-6.88612!4d107.61373!16s%2Fg%2F11b5z1mdxh!19sChIJ8e4Xl_jmaC4Rd8ZEkQQT7Sc?authuser=0&hl=id&rclk=1","Pascasarjana Unikom","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Diskominfo+Jabar/data=!4m7!3m6!1s0x2e68e65aa1983f2b:0x68da86f1d8077976!8m2!3d-6.89618!4d107.60941!16s%2Fg%2F11ypmqr98_!19sChIJKz-YoVrmaC4RdnkH2PGG2mg?authuser=0&hl=id&rclk=1","Diskominfo Jabar","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Pasar+Simpang+Dago+A/data=!4m7!3m6!1s0x2e68e6f8e15e5cf5:0x1c0f8dc0835671fb!8m2!3d-6.88456!4d107.61378!16s%2Fg%2F11tfp5zgh2!19sChIJ9Vxe4fjmaC4R-3FWg8CNDxw?authuser=0&hl=id&rclk=1","Pasar Simpang Dago A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Cihampelas/data=!4m7!3m6!1s0x2e68e6f6014613b5:0xbd43f07c46b9a56c!8m2!3d-6.8870071!4d107.6041097!16s%2Fg%2F11c31yn474!19sChIJtRNGAfbmaC4RbKW5RnzwQ70?authuser=0&hl=id&rclk=1","Cihampelas","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Rumah+Sakit+Santo+Borromeus+A/data=!4m7!3m6!1s0x2e68e65103c4464b:0x28f0341753a1fdfb!8m2!3d-6.89426!4d107.6129!16s%2Fg%2F11td4jqg89!19sChIJS0bEA1HmaC4R-_2hUxc08Cg?authuser=0&hl=id&rclk=1","Rumah Sakit Santo Borromeus A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Smart+Steps/data=!4m7!3m6!1s0x2e68e64f9dde69df:0xecb0a1cdbac82abe!8m2!3d-6.89978!4d107.6109!16s%2Fg%2F11gh1nghy_!19sChIJ32nenU_maC4RvirIus2hsOw?authuser=0&hl=id&rclk=1","Smart Steps","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Moxy+Bandung/data=!4m7!3m6!1s0x2e68e64f0384964f:0x221b0248d77df267!8m2!3d-6.90033!4d107.61237!16s%2Fg%2F11f5g03dsz!19sChIJT5aEA0_maC4RZ_J910gCGyI?authuser=0&hl=id&rclk=1","Moxy Bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/ITB+Ganesa+B/data=!4m7!3m6!1s0x2e68e650beb4eae3:0xc5ab42898ab9d6f7!8m2!3d-6.89311!4d107.61088!16s%2Fg%2F11mlxlyyr7!19sChIJ4-q0vlDmaC4R99a5iolCq8U?authuser=0&hl=id&rclk=1","ITB Ganesa B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ahass+Honda+Dipatiukur/data=!4m7!3m6!1s0x2e68e6560f612067:0x1536bc51cf47c630!8m2!3d-6.88743!4d107.61512!16s%2Fg%2F11dxbd45s7!19sChIJZyBhD1bmaC4RMMZHz1G8NhU?authuser=0&hl=id&rclk=1","Ahass Honda Dipatiukur","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Bandung+Ciwalk/data=!4m7!3m6!1s0x2e68e65b832bb981:0x317d064582e4b2f8!8m2!3d-6.89478!4d107.6045!16s%2Fg%2F11xp1ghp8r!19sChIJgbkrg1vmaC4R-LLkgkUGfTE?authuser=0&hl=id&rclk=1","Bandung Ciwalk","Perhentian bus","","Rute"
