"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","doJOZc","W4Efsd 7","lcr4fd href","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Print+Online+Jogja+24+jam+%28TIDAK+ADA+TOKO.+Cukup+kirim+file,+nanti+kita+antar%29/data=!4m7!3m6!1s0x2e7a59cf0e1e93e1:0xc498c978e5226bac!8m2!3d-7.7843857!4d110.3968652!16s%2Fg%2F11sv74glsl!19sChIJ4ZMeDs9Zei4RrGsi5XjJmMQ?authuser=0&hl=id&rclk=1","Print Online Jogja 24 jam (TIDAK ADA TOKO. Cukup kirim file, nanti kita antar)","4,8","(23)","Printer Digital","","·","","Buka 24 jam","","0858-5432-0942","","Situs Web","","","https://instagram.com/ndangngeprint.djogja?igshid=NGExMmI2YTkyZg==","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Print","digital 24 jam Sangat membantu, pelayanan bagus sesuai pesanan."""
"https://www.google.com/maps/place/GRAPHICO/data=!4m7!3m6!1s0x2e7a59ab81f19273:0xb37005beac49fd85!8m2!3d-7.7590132!4d110.3815104!16s%2Fg%2F1pzpm7f68!19sChIJc5LxgatZei4Rhf1JrL4FcLM?authuser=0&hl=id&rclk=1","GRAPHICO","3,9","(928)","Toko Percetakan","·","·","Jalan Kaliurang KM.5,5 No.18","Tutup","· Buka Sen pukul 08.00","(0274) 587057","","Situs Web","","·","http://www.graphico.co.id/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""hasil","print","bagus sesuai order, pengerjaan cepat, bisa jadi rekomendasi"""
"https://www.google.com/maps/place/Creative+Digital+Printing+dan+Copy+Center/data=!4m7!3m6!1s0x2e7a595bf3d996a1:0xee67910497c75182!8m2!3d-7.7645036!4d110.4104011!16s%2Fg%2F11fk02f68y!19sChIJoZbZ81tZei4RglHHlwSRZ-4?authuser=0&hl=id&rclk=1","Creative Digital Printing dan Copy Center","4,7","(368)","Percetakan Komersial","·","Jl. Seturan Raya","Tutup","· Buka Sen pukul 08.00","·","0877-3295-6479","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended banget buat yg mau cetak atau desain banner disini.""","",""
"https://www.google.com/maps/place/Bintang+Biru+Photo+Copy/data=!4m7!3m6!1s0x2e7a582c5ba2a4bf:0x326be07a16b5ce9!8m2!3d-7.7886104!4d110.3772965!16s%2Fg%2F11btm8vx8k!19sChIJv6SiWyxYei4R6VxroQe-JgM?authuser=0&hl=id&rclk=1","Bintang Biru Photo Copy","4,5","(115)","Toko Fotokopi","·","·","Buka","· Tutup pukul 21.00","Jl. Krasak Timur No.28","0821-3439-4790","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menerima pencetakan via WhatsApp""","",""
"https://www.google.com/maps/place/sc+foto+copy/data=!4m7!3m6!1s0x2e7a585407c06611:0x308d282b91388e62!8m2!3d-7.7595327!4d110.37431!16s%2Fg%2F11c6f8tmrn!19sChIJEWbAB1RYei4RYo44kSsojTA?authuser=0&hl=id&rclk=1","sc foto copy","4,7","(91)","Toko Fotokopi","·","·","69RF+5PM, Jl. Pogung Kidul","Buka","· Tutup pukul 00.00","0896-7139-6013","","Situs Web","","·","http://fotocopysc.blogspot.co.id/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Langganan printing cepat n cukup murah""","",""
"https://www.google.com/maps/place/vios+print/data=!4m7!3m6!1s0x2e7a59465fc5bcab:0x7ff3a79130d8e849!8m2!3d-7.763292!4d110.4065248!16s%2Fg%2F11fr1njhl2!19sChIJq7zFX0ZZei4RSejYMJGn838?authuser=0&hl=id&rclk=1","vios print","4,7","(23)","Layanan cetak digital","·","Jl. Pintu Selatan UPN No.2","Segera tutup","· 18.00 · Buka Sen pukul 08.00","·","0821-3610-0400","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","print","paling gacor, 2 jam kelar & harga terjangkau."""
"https://www.google.com/maps/place/BeOne+Photocopy+Pusat/data=!4m7!3m6!1s0x2e7a59ba36014b33:0x2328a289374bf12!8m2!3d-7.7676493!4d110.3928901!16s%2Fg%2F1pzpz4c2_!19sChIJM0sBNrpZei4REr90kyiKMgI?authuser=0&hl=id&rclk=1","BeOne Photocopy Pusat","4,3","(434)","Toko Fotokopi","·","·","Tutup","· Buka Sen pukul 06.30","Gg. Argulo No.19","(0274) 545571","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat printing jilid dan copy berkas-berkas kuliah.""","",""
"https://www.google.com/maps/place/Merkurius+Fotokopi/data=!4m7!3m6!1s0x2e7a59b0b784aacd:0xd2d8be7f8d117d8b!8m2!3d-7.7685152!4d110.3892018!16s%2Fg%2F11bzrq9r9n!19sChIJzaqEt7BZei4Ri30RjX--2NI?authuser=0&hl=id&rclk=1","Merkurius Fotokopi","4,7","(167)","Toko Fotokopi","·","·","Buka","· Tutup pukul 21.00","CTX, Jl. Flamboyan No.11A","0813-2847-8042","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sedia","print",", fotocopy, jilid hardcover, alat2 tulis lengkapp"""
"https://www.google.com/maps/place/Century+Photocopy+Center/data=!4m7!3m6!1s0x2e7a59f1852b4cd3:0x2c20dab1987b8d28!8m2!3d-7.778758!4d110.4167304!16s%2Fg%2F11b66fz5ht!19sChIJ00wrhfFZei4RKI17mLHaICw?authuser=0&hl=id&rclk=1","Century Photocopy Center","4,7","(42)","Toko Percetakan","·","·","Buka","· Tutup pukul 20.20","Jl. Tambak Bayan IX No.1c","0896-0439-9928","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kualitas","print","nya bagus poll."""
"https://www.google.com/maps/place/Kampoeng+Mart,+Celluller+%26+Fotocopy-print/data=!4m7!3m6!1s0x2e7a59cbf5ee1bc5:0x15661e7229ff7f59!8m2!3d-7.7798407!4d110.3835396!16s%2Fg%2F11c57whb3b!19sChIJxRvu9ctZei4RWX__KXIeZhU?authuser=0&hl=id&rclk=1","Kampoeng Mart, Celluller & Fotocopy-print","4,4","(19)","Toko Fotokopi","·","·","Buka","· Tutup pukul 23.00","Jalan Samirono VI, Condongcatur, Depok, Sleman","0877-1067-8910","","Rute","","·","","","","","","",""
