"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Indocakti/data=!4m7!3m6!1s0x2dd6282b611bddef:0x7c43fc9ffa7cc242!8m2!3d-7.96327!4d112.62557!16s%2Fg%2F11f5f_wf0g!19sChIJ790bYSso1i0RQsJ8-p_8Q3w?authuser=0&hl=id&rclk=1","Indocakti","Perhentian bus","","Rute"
"https://www.google.com/maps/place/SPBU+Tidar+54+-+65160/data=!4m7!3m6!1s0x2e788289ece14baf:0x98a6bc18c7fe5c59!8m2!3d-7.96426!4d112.60298!16s%2Fg%2F11f5g13h_y!19sChIJr0vh7ImCeC4RWVz-xxi8ppg?authuser=0&hl=id&rclk=1","SPBU Tidar 54 - 65160","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Arjosari/data=!4m7!3m6!1s0x2dd62999790a6199:0x12e7c172a4e2e797!8m2!3d-7.934936!4d112.658868!16s%2Fg%2F11qp5zjspw!19sChIJmWEKeZkp1i0Rl-fipHLB5xI?authuser=0&hl=id&rclk=1","Arjosari","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Vinz+Ice+Cream/data=!4m7!3m6!1s0x2e788286a9e64f3f:0xb32c337bbaeb104f!8m2!3d-7.967564!4d112.613454!16s%2Fg%2F11hd8jrdq2!19sChIJP0_mqYaCeC4RTxDrunszLLM?authuser=0&hl=id&rclk=1","Vinz Ice Cream","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kampus+STIKI/data=!4m7!3m6!1s0x2e788286281f32b9:0x3cb4f7a087481811!8m2!3d-7.965929!4d112.607969!16s%2Fg%2F11gh1pg652!19sChIJuTIfKIaCeC4RERhIh6D3tDw?authuser=0&hl=id&rclk=1","Kampus STIKI","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Juliette+Beach+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e788282ab27f369:0xd2fef36cb71506d6!8m2!3d-7.972289!4d112.619677!16s%2Fg%2F11hd8jpmcn!19sChIJafMnq4KCeC4R1gYVt2zz_tI?authuser=0&hl=id&rclk=1","Juliette Beach Cafe & Resto","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang+Stasiun+Bus+Station/data=!4m7!3m6!1s0x2dd6283c1941600d:0x63394cf58abe68c6!8m2!3d-7.9774311!4d112.637295!16s%2Fg%2F11xss12zy_!19sChIJDWBBGTwo1i0Rxmi-ivVMOWM?authuser=0&hl=id&rclk=1","Malang Stasiun Bus Station","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Travel+Cafe/data=!4m7!3m6!1s0x2e788280e2bd09d7:0xc537ec4a231abaef!8m2!3d-7.96483!4d112.61607!16s%2Fg%2F11f5g15s8m!19sChIJ1wm94oCCeC4R77oaI0rsN8U?authuser=0&hl=id&rclk=1","Travel Cafe","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Dokter+Nanik+Julianty/data=!4m7!3m6!1s0x2e7882862836f795:0x3f00272f7a2e2feb!8m2!3d-7.965866!4d112.608027!16s%2Fg%2F11f5g14kt2!19sChIJlfc2KIaCeC4R6y8uei8nAD8?authuser=0&hl=id&rclk=1","Dokter Nanik Julianty","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Super+Indo+Supermarket/data=!4m7!3m6!1s0x2e78829b68c2c061:0x8da8871098590205!8m2!3d-7.97422!4d112.61299!16s%2Fg%2F11hd8jq1n8!19sChIJYcDCaJuCeC4RBQJZmBCHqI0?authuser=0&hl=id&rclk=1","Super Indo Supermarket","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang+Himana+Bus+Station/data=!4m7!3m6!1s0x2e78829b3745ea4f:0x405f7fabfb959d15!8m2!3d-7.9733483!4d112.6120949!16s%2Fg%2F11ykw5j8vx!19sChIJT-pFN5uCeC4RFZ2V-6t_X0A?authuser=0&hl=id&rclk=1","Malang Himana Bus Station","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Cyber+Mall/data=!4m7!3m6!1s0x2e78829b697f57b7:0x24b976730abca555!8m2!3d-7.974159!4d112.612809!16s%2Fg%2F11hd8jqhbd!19sChIJt1d_aZuCeC4RVaW8CnN2uSQ?authuser=0&hl=id&rclk=1","Cyber Mall","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ijen+1/data=!4m7!3m6!1s0x2dd6282b7a126c3f:0x5a4a17a0faf2c842!8m2!3d-7.964!4d112.62513!16s%2Fg%2F11ysz3v0nx!19sChIJP2wSeiso1i0RQsjy-qAXSlo?authuser=0&hl=id&rclk=1","Ijen 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang+Ruko+Panglima+Sudirman+Bus+Station/data=!4m7!3m6!1s0x2dd6283a5b200675:0xb7873e4c074e26e0!8m2!3d-7.9731813!4d112.6354179!16s%2Fg%2F11y0v7mbrf!19sChIJdQYgWzoo1i0R4CZOB0w-h7c?authuser=0&hl=id&rclk=1","Malang Ruko Panglima Sudirman Bus Station","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Blessing+Kids/data=!4m7!3m6!1s0x2e788289ed2e8e69:0x47a60369e5c436d4!8m2!3d-7.96435!4d112.60293!16s%2Fg%2F11f5g13vln!19sChIJaY4u7YmCeC4R1DbE5WkDpkc?authuser=0&hl=id&rclk=1","Blessing Kids","Perhentian bus","","Rute"
